2025-07-16 18:42:36 | INFO     | AccountExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:36 | INFO     | AccountExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:36 | INFO     | AccountExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:37 | INFO     | AccountExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:37 | INFO     | AccountExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:37 | INFO     | AccountExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:38 | INFO     | AccountExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:38 | INFO     | AccountExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:38 | INFO     | AccountExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:40 | INFO     | TokenExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:40 | INFO     | TokenExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:40 | INFO     | TokenExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:41 | INFO     | TokenExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:41 | INFO     | TokenExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:41 | INFO     | TokenExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:42 | INFO     | TokenExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:42 | INFO     | TokenExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:42 | INFO     | TokenExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:44 | INFO     | ProgramExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:44 | INFO     | ProgramExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:44 | INFO     | ProgramExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:45 | INFO     | ProgramExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:45 | INFO     | ProgramExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:45 | INFO     | ProgramExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:46 | INFO     | ProgramExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:46 | INFO     | ProgramExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:46 | INFO     | ProgramExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:48 | INFO     | ReentrancyExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:48 | INFO     | ReentrancyExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:48 | INFO     | ReentrancyExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:49 | INFO     | ReentrancyExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:49 | INFO     | ReentrancyExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:49 | INFO     | ReentrancyExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:42:50 | INFO     | ReentrancyExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:42:50 | INFO     | ReentrancyExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:42:50 | INFO     | ReentrancyExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:56:02 | INFO     | AccountExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:56:02 | INFO     | AccountExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:56:02 | INFO     | AccountExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:56:12 | ERROR    | AccountExploit | get_account_info:222 | Ошибка получения информации об аккаунте 11111111111111111111111111111111: 
2025-07-16 18:56:13 | INFO     | AccountExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:56:13 | INFO     | AccountExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:56:13 | INFO     | AccountExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:56:23 | ERROR    | AccountExploit | get_account_info:222 | Ошибка получения информации об аккаунте TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA: 
2025-07-16 18:56:24 | INFO     | AccountExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:56:24 | INFO     | AccountExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:56:24 | INFO     | AccountExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:56:34 | ERROR    | AccountExploit | get_account_info:222 | Ошибка получения информации об аккаунте ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL: 
2025-07-16 18:56:36 | INFO     | TokenExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:56:36 | INFO     | TokenExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:56:36 | INFO     | TokenExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:56:46 | ERROR    | TokenExploit | get_token_account_info:245 | Ошибка получения информации о токен аккаунте 11111111111111111111111111111111: 
2025-07-16 18:56:47 | INFO     | TokenExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:56:47 | INFO     | TokenExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:56:47 | INFO     | TokenExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:56:57 | ERROR    | TokenExploit | get_token_account_info:245 | Ошибка получения информации о токен аккаунте TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA: 
2025-07-16 18:56:58 | INFO     | TokenExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:56:58 | INFO     | TokenExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:56:58 | INFO     | TokenExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:57:08 | ERROR    | TokenExploit | get_token_account_info:245 | Ошибка получения информации о токен аккаунте ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL: 
2025-07-16 18:57:10 | INFO     | ProgramExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:57:10 | INFO     | ProgramExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:57:10 | INFO     | ProgramExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:57:20 | ERROR    | ProgramExploit | get_account_info:222 | Ошибка получения информации об аккаунте 11111111111111111111111111111111: 
2025-07-16 18:57:21 | INFO     | ProgramExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:57:21 | INFO     | ProgramExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:57:21 | INFO     | ProgramExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:57:31 | ERROR    | ProgramExploit | get_account_info:222 | Ошибка получения информации об аккаунте TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA: 
2025-07-16 18:57:32 | INFO     | ProgramExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:57:32 | INFO     | ProgramExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:57:32 | INFO     | ProgramExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:57:42 | ERROR    | ProgramExploit | get_account_info:222 | Ошибка получения информации об аккаунте ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL: 
2025-07-16 18:57:44 | INFO     | ReentrancyExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:57:44 | INFO     | ReentrancyExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:57:44 | INFO     | ReentrancyExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:57:54 | ERROR    | ReentrancyExploit | get_account_info:222 | Ошибка получения информации об аккаунте 11111111111111111111111111111111: 
2025-07-16 18:57:55 | INFO     | ReentrancyExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:57:55 | INFO     | ReentrancyExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:57:55 | INFO     | ReentrancyExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:58:06 | ERROR    | ReentrancyExploit | get_account_info:222 | Ошибка получения информации об аккаунте TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA: 
2025-07-16 18:58:07 | INFO     | ReentrancyExploit | _create_rpc_client:120 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 18:58:07 | INFO     | ReentrancyExploit | __init__:112 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 18:58:07 | INFO     | ReentrancyExploit | __init__:113 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 18:58:17 | ERROR    | ReentrancyExploit | get_account_info:222 | Ошибка получения информации об аккаунте ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL: 
2025-07-16 21:48:22 | INFO     | AccountExploit | _create_rpc_client:122 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 21:48:22 | INFO     | AccountExploit | __init__:114 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 21:48:22 | INFO     | AccountExploit | __init__:115 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 21:48:32 | ERROR    | AccountExploit | get_account_info:224 | Ошибка получения информации об аккаунте 11111111111111111111111111111111: 
2025-07-16 21:48:33 | INFO     | AccountExploit | _create_rpc_client:122 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 21:48:33 | INFO     | AccountExploit | __init__:114 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 21:48:33 | INFO     | AccountExploit | __init__:115 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 21:48:43 | ERROR    | AccountExploit | get_account_info:224 | Ошибка получения информации об аккаунте TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA: 
2025-07-16 21:48:44 | INFO     | AccountExploit | _create_rpc_client:122 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 21:48:44 | INFO     | AccountExploit | __init__:114 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 21:48:44 | INFO     | AccountExploit | __init__:115 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 21:48:54 | ERROR    | AccountExploit | get_account_info:224 | Ошибка получения информации об аккаунте ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL: 
2025-07-16 21:48:56 | INFO     | TokenExploit | _create_rpc_client:122 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 21:48:56 | INFO     | TokenExploit | __init__:114 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 21:48:56 | INFO     | TokenExploit | __init__:115 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 21:49:06 | ERROR    | TokenExploit | get_token_account_info:247 | Ошибка получения информации о токен аккаунте 11111111111111111111111111111111: 
2025-07-16 21:49:07 | INFO     | TokenExploit | _create_rpc_client:122 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 21:49:07 | INFO     | TokenExploit | __init__:114 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 21:49:07 | INFO     | TokenExploit | __init__:115 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 21:49:17 | ERROR    | TokenExploit | get_token_account_info:247 | Ошибка получения информации о токен аккаунте TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA: 
2025-07-16 21:49:18 | INFO     | TokenExploit | _create_rpc_client:122 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 21:49:18 | INFO     | TokenExploit | __init__:114 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 21:49:18 | INFO     | TokenExploit | __init__:115 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 21:49:28 | ERROR    | TokenExploit | get_token_account_info:247 | Ошибка получения информации о токен аккаунте ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL: 
2025-07-16 21:49:30 | INFO     | ProgramExploit | _create_rpc_client:122 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 21:49:30 | INFO     | ProgramExploit | __init__:114 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 21:49:30 | INFO     | ProgramExploit | __init__:115 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 21:49:40 | ERROR    | ProgramExploit | get_account_info:224 | Ошибка получения информации об аккаунте 11111111111111111111111111111111: 
2025-07-16 21:49:41 | INFO     | ProgramExploit | _create_rpc_client:122 | 🔌 Подключение к основному RPC: https://solana-api.projectserum.com
2025-07-16 21:49:41 | INFO     | ProgramExploit | __init__:114 | 🚀 Базовый эксплойт инициализирован с проверками безопасности
2025-07-16 21:49:41 | INFO     | ProgramExploit | __init__:115 | 🎯 Наш целевой аккаунт: 8nQE7NqRRDM1CtfiVkroK3CiMCeSCWzrzzt2zUqxsP8Q
2025-07-16 21:49:51 | ERROR    | ProgramExploit | get_account_info:224 | Ошибка получения информации об аккаунте TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA: 
